query	question	option_1	option_2	option_3	option_4	option_5	Quality_Option1	Quality_Option2	Quality_Option3	Quality_Option4	Quality_Option5	OverallClarificationPaneQuality								
0x80070005	Select one to refine your search	0x80070005 win 10	0x80070005 win 7				4	3				4								
0x80070005	Select one to refine your search	0x80070005 windows 10	0x80070005 windows 7	0x80070005 windows 8	0x80070005 windows rt	windows xp	3	3	3	3	2	4								
0x80070005	Select one to refine your search	0x80070005 windows 10	0x80070005 windows 7	0x80070005 windows 8	windows xp	windows vista	5	5	5	2	2	3								
0x80070422	Select one to refine your search	0x80070422 win 10	0x80070422 win 7				4	4				4								
0x80070422	Select one to refine your search	0x80070422 windows 10	0x80070422 windows 7	0x80070422 windows 8	0x80070422 windows server 2016		4	4	4	3		4								
0x80070422	Select one to refine your search	0x80070422 windows 10	0x80070422 windows server 2016				4	4				3								
0xc0000142	Select one to refine your search	0xc0000142 windows 10	0xc0000142 windows 7	0xc0000142 windows xp	0xc0000142 windows 8		4	4	4	4		4								
0xc0000142	Select one to refine your search	0xc0000142 windows 10	0xc0000142 windows 7	0xc0000142 word	0xc0000142 windows xp	0xc0000142 windows 8	3	3	4	2	2	3								
0xc0000142	Select one to refine your search	outlook error 0xc0000142	application error 0xc0000142				5	4				5								
1 peter 3	Select one to refine your search	1 peter 3 kjv	1 peter 3 esv	1 peter 3 nasb	1 peter 3 niv	1 peter 3 nlt	3	4	4	4	4	4								
1 peter 3	Select one to refine your search	1 peter 3 kjv	1 peter 3 nasb	1 peter 3 esv	1 peter 3 niv	1 peter 3 nlt	5	5	5	5	5	5								
1 peter 3	Select one to refine your search	1 peter 3 kjv	1 peter 3 niv	1 peter 3 nasb	1 peter 3 esv	1 peter 3 nlt	5	4	4	4	4	4								
1 samuel 1	Select one to refine your search	1 samuel 1 kjv	1 samuel 1 esv	1 samuel 1 niv	1 samuel 1 nlt	1 samuel 1 nasb	2	2	2	3	3	3								
1 samuel 1	Select one to refine your search	1 samuel 1 kjv	1 samuel 1 esv	1 samuel 1 niv	1 samuel 1 the message		3	3	3	4		3								
1 samuel 1	Select one to refine your search	1 samuel 1 kjv	1 samuel 1 niv	1 samuel 1 esv	1 samuel 1 the message		3	3	3	3		4								
1 samuel 1	Select one to refine your search	1 samuel 1 kjv	1 samuel 1 nlt	1 samuel 1 esv	1 samuel 1 niv	1 samuel 1 nasb	5	5	5	5	5	5								
1 samuel 1	Select one to refine your search	kjv	esv	niv	the message		5	4	5	4		4								
1 samuel 1	Select one to refine your search	kjv	niv	esv	the message		3	3	3	3		3								
1 samuel 1	Select one to refine your search	kjv	nlt	esv	niv	nasb	3	3	3	3	2	2								
10 codes	Select one to refine your search	10 codes police	10 codes for security guards				4	4				4								
10 codes	Select one to refine your search	cpt 10 codes	icd 10 codes				2	2				2								
10 codes	Select one to refine your search	police 10 codes	ems 10 codes	military 10 codes			5	4	4			4								
1099 form	Select one to refine your search	1099 form pdf	1099 form in word	1099 form excel			4	4	3			4								
1099 form	Select one to refine your search	1099 tax form	1099 real estate form	1099 social security form	1099 unemployment form		5	3	3	3		3								
1099 form	Select one to refine your search	1099 tax form	1099 social security form	1099 real estate form	1099 unemployment form		5	4	4	4		4								
1099 form	Select one to refine your search	1099 tax form	1099 unemployment form	1099 real estate form	1099 social security form		5	3	3	3		5								
10fastfingers typing test	Select one to refine your search	english	10fastfingers typing test math				3	5				4								
10fastfingers typing test	Select one to refine your search	english	persian	thai	turkish	10fastfingers typing test math	4	3	3	3	5	3								
10fastfingers typing test	Select one to refine your search	english	persian	thai	turkish	serbian	5	4	4	3	1	5								
10k training plan	Select one to refine your search	beginners	10k training plan intermediate	10k training plan advanced	novice		4	5	5	3		4								
10k training plan	Select one to refine your search	10k training plan intermediate	10k training plan advanced	10k training plan beginner			4	4	5			5								
10k training plan	Select one to refine your search	beginner 10k training plan	intermediate 10k training plan				5	4				3								
12 gauge shotgun	Select one to refine your search	12 gauge fully automatic shotgun	single shot	12 gauge revolver shotgun			5	4	5			4								
12 gauge shotgun	Select one to refine your search	lever action	bolt action	single shot	pump action	muzzleloader	3	3	5	5	3	4								
12 gauge shotgun	Select one to refine your search	bolt action	lever action	single shot			4	4	5			3								
12 gauge shotgun	Select one to refine your search	savage	browning	mossberg	winchester	cz	4	4	4	4	4	4								
1200 calorie diet	Select one to refine your search	for women	for men	for children	diet for seniors		5	5	5	5		5								
1200 calorie diet	Select one to refine your search	for women	for men	1200 calorie diet for kids			5	3	4			5								
1200 calorie diet	Select one to refine your search	vegetarian diet	diabetic	low carb	dash diet diet	plan diet	4	4	4	3	4	4								
123 free movies online	Select one to refine your search	horror movies	comedy movies	action movies	western movies	english movies	3	3	3	3	3	2								
123 free movies online	Select one to refine your search	horror movies	comedy movies	western movies	drama movies		4	5	3	5		4								
123 free movies online	Select one to refine your search	western movies	123 free indian movies online	english movies			3	2	4			3								
123 solitaire	Select one to refine your search	123 solitaire for windows 10	123 solitaire for windows 8				5	4				4								
123 solitaire	Select one to refine your search	free for windows 10	free for windows 8				5	5				4								
123 solitaire	Select one to refine your search	123 spider solitaire	123 freecell solitaire	123 klondike solitaire	123 pyramid solitaire		4	4	3	4		5								
123 watch free movies online	Select one to refine your search	123 watch free english movies online	action movies	comedy movies	horror movies	drama movies	5	4	4	4	4	4								
123 watch free movies online	Select one to refine your search	english movies	drama movies	horror movies	action movies	comedy movies	4	5	4	5	5	4								
123 watch free movies online	Select one to refine your search	english movies	horror movies	action movies	comedy movies	drama movies	3	4	4	4	4	4								
123 watch free movies online	Select one to refine your search	english movies	123 watch free indian movies online				3	4				3								
12v battery	Select one to refine your search	12v car battery	lead acid	agm	deep cycle	12v lithium ion battery	3	2	2	3	5	4								
12v battery	Select one to refine your search	12v car battery	12v motorcycle battery	12v atv battery	12v truck battery	12v boat battery	4	4	4	4	4	4								
12v battery	Select one to refine your search	12v lithium ion battery	12v rechargeable battery				4	4				4								
13 going on 30	Select one to refine your search	cast	dvd				4	3				3								
13 going on 30	Select one to refine your search	cast	trailer	quotes	songs	summary	5	5	4	4	5	5								
13 going on 30	Select one to refine your search	cast	trailer	quotes	soundtrack	dvd	5	5	3	5	5	5								
13 inch laptop	Select one to refine your search	13 inch laptop case	13 inch laptop bag				4	4				4								
13 inch laptop	Select one to refine your search	13 inch laptop windows 10	13 inch laptop windows 7				4	4				4								
13 inch laptop	Select one to refine your search	asus 13 inch laptop	lenovo 13 inch laptop	hp 13 inch laptop	dell 13 inch laptop	acer 13 inch laptop	5	5	5	5	5	5								
14 news	Select one to refine your search	14 weht news	14 kfox news				3	3				4								
14 news	Select one to refine your search	fox 14 news	abc 14 news	cbs 14 news	nbc 14 news		5	5	5	5		5								
14 news	Select one to refine your search	fox 14 news	abc 14 news	cbs 14 news	nbc 14 news	univision 14 news	4	4	4	4	4	4								
1440p wallpaper	Select one to refine your search	1440p desktop wallpaper	1440p anime wallpaper	1440p 3d wallpaper			5	3	3			5								
1440p wallpaper	Select one to refine your search	1440p desktop wallpaper	1440p anime wallpaper	1440p nature wallpaper	1440p 3d wallpaper		4	5	5	5		4								
1440p wallpaper	Select one to refine your search	1440p desktop wallpaper	1440p mobile wallpaper				5	5				4								
1440p wallpaper	Select one to refine your search	star wars	game of thrones	halo 1440p wallpaper	mass effect	final fantasy	4	3	4	4	3	4								
144hz monitor	Select one to refine your search	144hz monitor review	144hz monitor guide				4	4				3								
144hz monitor	Select one to refine your search	2k 144hz monitor	1080p 144hz monitor	4k 144hz monitor			4	5	4			4								
144hz monitor	Select one to refine your search	hp 144hz monitor	dell 144hz monitor	msi 144hz monitor	samsung 144hz monitor	asus 144hz monitor	5	5	5	5	5	5								
144hz monitor	Select one to refine your search	hp 144hz monitor	dell 144hz monitor	asus 144hz monitor	asus 144hz monitor	acer 144hz monitor	5	5	5	2	5	4								
14k gold price	Select one to refine your search	14k gold gram price	14k gold pennyweight price	14k gold ounce price			4	3	5			4								
14k gold price	Select one to refine your search	14k gold price calculator	14k gold price chart				4	4				5								
14k gold price	Select one to refine your search	mens 14k gold price	womens 14k gold price				4	4				4								
17 laptop	Select one to refine your search	17 laptop review	17 laptop cases	17 laptop screen protector	17 laptop battery	17 laptop price	4	3	4	4	4	4								
17 laptop	Select one to refine your search	dell	lenovo 17 laptop	acer 17 laptop	acer 17 laptop	asus 17 laptop	3	3	5	3	3	4								
17 laptop	Select one to refine your search	dell inspiron 17 laptop	hp pavilion 17 laptop	lenovo 17 laptop	acer 17 laptop	apple 17 laptop	5	5	5	5	5	5								
17 laptop	Select one to refine your search	lenovo 17 laptop	hp pavilion 17 laptop	dell inspiron 17 laptop	apple 17 laptop	acer 17 laptop	3	3	3	3	3	3								
1800 calorie diet	Select one to refine your search	1800 calorie diet for men	1800 calorie diet for women				4	4				4								
1800 calorie diet	Select one to refine your search	1800 calorie diet for men	1800 calorie diet for women	1800 calorie diet for children			5	5	5			5								
1800 calorie diet	Select one to refine your search	printable for men	printable for women				4	4				4								
1800 calorie diet	Select one to refine your search	low carb diet	low sodium diet	high protein diet	diabetic diet	weight loss diet	4	4	4	4	4	4								
18th birthday ideas	Select one to refine your search	decoration ideas	party game ideas	party theme ideas	party food ideas	invitation ideas	5	5	5	5	5	5								
18th birthday ideas	Select one to refine your search	18th birthday ideas for girls	18th birthday ideas for boys	18th birthday ideas for men			5	5	3			4								
18th birthday ideas	Select one to refine your search	18th birthday ideas for girls	18th birthday ideas for guys				3	3				5								
18th birthday ideas	Select one to refine your search	birthday party	birthday boy	birthday hotel	birthday tattoo		5	3	3	3		4								
1943 penny	Select one to refine your search	1943 aluminum penny	1943 stainless steel penny	1943 copper penny	1943 brass penny	1943 glass penny	2	4	4	5	3	5								
1943 penny	Select one to refine your search	1943 lead penny	1943 zinc penny	1943 bronze penny	1943 aluminum penny	1943 d silver penny	5	5	5	5	4	5								
1943 penny	Select one to refine your search	1943 penny canada	1943 penny usa	1943 penny australia			4	4	4			4								
1943 penny	Select one to refine your search	1943 s penny	1943 d wheat penny	1943 silver penny	1943 steel penny	1943 copper penny	4	5	4	5	5	4								
1944 wheat penny value	Select one to refine your search	copper	bronze	steel	silver		4	2	2	3		4								
1944 wheat penny value	Select one to refine your search	copper	steel				5	4				4								
1944 wheat penny value	Select one to refine your search	copper	steel	silver	bronze		5	4	4	3		5								
1944 wheat penny value	Select one to refine your search	1944 wheat penny copper value	1944 wheat penny steel value	1944 wheat penny silver value			5	1	2			4								
1953 chevrolet truck	Select one to refine your search	1953 chevrolet panel truck	1953 chevrolet pickup truck	1953 chevrolet flatbed truck			3	4	3			4								
1953 chevrolet truck	Select one to refine your search	1953 chevrolet pickup truck	1953 chevrolet flatbed truck				4	5				4								
1953 chevrolet truck	Select one to refine your search	1953 chevrolet pickup truck	1953 chevrolet panel truck	1953 chevrolet flatbed truck			5	4	4			5								
1953 chevrolet truck	Select one to refine your search	radiator	bell housing	grille	hood		3	2	3	3		4								
1960s fashion	Select one to refine your search	1960s fashion facts	1960s fashion quotes	for sale			3	2	3			3								
1960s fashion	Select one to refine your search	1960s fashion for men	1960s fashion for women	1960s fashion for boys			5	5	4			4								
1960s fashion	Select one to refine your search	1960s fashion for men	1960s fashion for women	1960s fashion for children	1960s fashion for boys		5	5	4	5		4								
1960s fashion	Select one to refine your search	1960s fashion for men	1960s fashion for women	1960s fashion for children	1960s fashion for teens		4	4	4	4		4								
1960s fashion	Select one to refine your search	1960s fashion for men	1960s fashion for women	for girls			5	5	3			5								
1960s music	Select one to refine your search	1960s country music	1960s rock music	1960s pop music	1960s soul music	1960s surf music	5	5	5	4	4	5								
1960s music	Select one to refine your search	1960s music article	1960s music essay				4	3				3								
1960s music	Select one to refine your search	1960s music lyrics	1960s music genre	1960s music albums			4	5	5			4								
1960s music	Select one to refine your search	1960s music rock	1960s music jazz	1960s music country			5	5	5			4								
1964 corvette	Select one to refine your search	for sale	battery	1964 corvette facts			5	4	5			5								
