query	question	option_1	option_2	option_3	option_4	option_5	impression_level	engagement_level	option_cctr_1	option_cctr_2	option_cctr_3	option_cctr_4	option_cctr_5
0x80070005	Select one to refine your search	0x80070005 win 10	0x80070005 win 7				medium	0	0	0	0	0	0
0x80070005	Select one to refine your search	0x80070005 windows 10	0x80070005 windows 7	0x80070005 windows 8	0x80070005 windows rt	windows xp	medium	8	1	0	0	0	0
0x80070005	Select one to refine your search	0x80070005 windows 10	0x80070005 windows 7	0x80070005 windows 8	windows xp	windows vista	high	2	1	0	0	0	0
0x80070422	Select one to refine your search	0x80070422 win 10	0x80070422 win 7				high	2	1	0	0	0	0
0x80070422	Select one to refine your search	0x80070422 windows 10	0x80070422 windows 7	0x80070422 windows 8	0x80070422 windows server 2016		high	4	0.5	0.5	0	0	0
0x80070422	Select one to refine your search	0x80070422 windows 10	0x80070422 windows server 2016				high	1	1	0	0	0	0
0xc0000142	Select one to refine your search	0xc0000142 windows 10	0xc0000142 windows 7	0xc0000142 windows xp	0xc0000142 windows 8		medium	4	1	0	0	0	0
0xc0000142	Select one to refine your search	0xc0000142 windows 10	0xc0000142 windows 7	0xc0000142 word	0xc0000142 windows xp	0xc0000142 windows 8	low	0	0	0	0	0	0
0xc0000142	Select one to refine your search	outlook error 0xc0000142	application error 0xc0000142				high	3	0	1	0	0	0
1 peter 3	Select one to refine your search	1 peter 3 kjv	1 peter 3 esv	1 peter 3 nasb	1 peter 3 niv	1 peter 3 nlt	medium	4	1	0	0	0	0
1 peter 3	Select one to refine your search	1 peter 3 kjv	1 peter 3 nasb	1 peter 3 esv	1 peter 3 niv	1 peter 3 nlt	low	0	0	0	0	0	0
1 peter 3	Select one to refine your search	1 peter 3 kjv	1 peter 3 niv	1 peter 3 nasb	1 peter 3 esv	1 peter 3 nlt	low	0	0	0	0	0	0
1 samuel 1	Select one to refine your search	1 samuel 1 kjv	1 samuel 1 esv	1 samuel 1 niv	1 samuel 1 nlt	1 samuel 1 nasb	low	0	0	0	0	0	0
1 samuel 1	Select one to refine your search	1 samuel 1 kjv	1 samuel 1 esv	1 samuel 1 niv	1 samuel 1 the message		medium	0	0	0	0	0	0
1 samuel 1	Select one to refine your search	1 samuel 1 kjv	1 samuel 1 niv	1 samuel 1 esv	1 samuel 1 the message		low	0	0	0	0	0	0
1 samuel 1	Select one to refine your search	1 samuel 1 kjv	1 samuel 1 nlt	1 samuel 1 esv	1 samuel 1 niv	1 samuel 1 nasb	medium	0	0	0	0	0	0
1 samuel 1	Select one to refine your search	kjv	esv	niv	the message		medium	6	0	0	0	1	0
1 samuel 1	Select one to refine your search	kjv	niv	esv	the message		medium	6	0	0	1	0	0
1 samuel 1	Select one to refine your search	kjv	nlt	esv	niv	nasb	medium	0	0	0	0	0	0
10 codes	Select one to refine your search	10 codes police	10 codes for security guards				medium	5	1	0	0	0	0
10 codes	Select one to refine your search	cpt 10 codes	icd 10 codes				high	0	0	0	0	0	0
10 codes	Select one to refine your search	police 10 codes	ems 10 codes	military 10 codes			medium	4	1	0	0	0	0
1099 form	Select one to refine your search	1099 form pdf	1099 form in word	1099 form excel			high	4	1	0	0	0	0
1099 form	Select one to refine your search	1099 tax form	1099 real estate form	1099 social security form	1099 unemployment form		high	6	0.75	0	0.25	0	0
1099 form	Select one to refine your search	1099 tax form	1099 social security form	1099 real estate form	1099 unemployment form		high	7	1	0	0	0	0
1099 form	Select one to refine your search	1099 tax form	1099 unemployment form	1099 real estate form	1099 social security form		high	7	0.92	0.08	0	0	0
10fastfingers typing test	Select one to refine your search	english	10fastfingers typing test math				high	6	0.666666667	0.333333333	0	0	0
10fastfingers typing test	Select one to refine your search	english	persian	thai	turkish	10fastfingers typing test math	high	0	0	0	0	0	0
